gene_a	gene_b
GRIN1	SLC22A8
GRIN1	GABRB2
GRIN1	OSBP2
GRIN1	LRP1
GRIN1	MYL12A
GRIN1	GSTM5
GRIN1	PPP2R1A
GRIN1	GPRIN2
GRIN1	MAP2K3
GRIN1	MAP2K2
GRIN1	MAP2K1
GRIN1	MAP2K7
GRIN1	SPTBN5
GRIN1	SPTBN4
GRIN1	SPTBN2
GRIN1	TFAP2D
GRIN1	NRG1
GRIN1	NTRK3
GRIN1	NRG2
GRIN1	POU3F3
GRIN1	TP53BP1
GRIN1	NUMB
GRIN1	DRD5
GRIN1	DRD3
GRIN1	LRFN2
GRIN1	CCK
GRIN1	CANX
GRIN1	TFAP2A
GRIN1	RYR1
GRIN1	NTRK2
GRIN1	LYN
GRIN1	HTR7
GRIN1	ATP2B3
GRIN1	KRAS
GRIN1	GRB2
GRIN1	CYP4A11
GRIN1	CLTC
GRIN1	EPHB6
GRIN1	PIK3R2
GRIN1	PIK3R1
GRIN1	ITPR3
GRIN1	FGF5
GRIN1	FGF2
GRIN1	AMPH
GRIN1	PCBP3
GRIN1	CHRNB2
GRIN1	EPHA7
GRIN1	EPHA5
GRIN1	EPHA4
GRIN1	EPHA3
GRIN1	EPHA2
GRIN1	EPHA1
GRIN1	CYP2E1
GRIN1	HNRNPU
GRIN1	PRB4
GRIN1	MAPK8IP1
GRIN1	DSG1
GRIN1	RASGRF2
GRIN1	KALRN
GRIN1	GPR50
GRIN1	TRPA1
GRIN1	NRAS
GRIN1	PDGFB
GRIN1	TRAF3
GRIN1	GRIN2D
GRIN1	TNR
GRIN1	SHANK2
GRIN1	SHANK1
GRIN1	MAST1
GRIN1	GRIN2A
GRIN1	ACTL6B
DHX9	NCBP1
DHX9	HSPA4
DHX9	PDCD11
DHX9	ZC3H13
DHX9	NUP98
DHX9	HNRNPDL
DHX9	NTHL1
DHX9	ATP2A2
DHX9	XPO1
DHX9	CSDE1
DHX9	TTK
DHX9	KCNH5
DHX9	UTP20
DHX9	NUP133
DHX9	PLRG1
DHX9	BUD23
DHX9	AP3D1
DHX9	NOL9
DHX9	PRKAR1A
DHX9	CDC42
DHX9	EEF1A1
DHX9	HMGB1
DHX9	CHAF1B
DHX9	PNN
DHX9	WDR75
DHX9	EWSR1
DHX9	AHCTF1
DHX9	PRPF3
DHX9	PCF11
DHX9	RFC4
DHX9	RELA
DHX9	THOC7
DHX9	THOC6
DHX9	THOC5
DHX9	RFX7
DHX9	ADNP
DHX9	YTHDF2
DHX9	MED1
DHX9	SSB
DHX9	NOC2L
DHX9	CFAP20
DHX9	HINFP
DHX9	API5
DHX9	SMARCA1
DHX9	NR1D2
DHX9	MYBL2
DHX9	RRS1
DHX9	CDC5L
DHX9	AP2A1
DHX9	HECTD1
DHX9	CACNA1A
DHX9	DNMT1
DHX9	CUL7
DHX9	CUL1
DHX9	CUL3
DHX9	TRIM28
DHX9	TRIM23
DHX9	COIL
DHX9	KAT7
DHX9	SRSF1
DHX9	ABCF2
DHX9	ABCF1
DHX9	SRSF2
DHX9	SRSF9
DHX9	CHEK2
DHX9	UMPS
DHX9	GINS1
DHX9	RPS2
DHX9	GMFB
DHX9	ERCC5
DHX9	SF3B3
DHX9	G2E3
DHX9	EIF2AK1
DHX9	TDG
DHX9	EIF2AK4
DHX9	OCRL
DHX9	TIMM17A
DHX9	RPL29
DHX9	RPL28
DHX9	RPL22
DHX9	WBP4
DHX9	CANX
DHX9	EIF1AX
DHX9	NTRK1
DHX9	HSP90AB1
DHX9	UBR5
DHX9	GRB2
DHX9	RPL5
DHX9	FEN1
DHX9	LUC7L
DHX9	CHD1
DHX9	CHD3
DHX9	CHD4
DHX9	CDC25C
DHX9	CDC25A
DHX9	AGO4
DHX9	KDM1A
DHX9	TRIM33
DHX9	NBN
DHX9	PCM1
DHX9	NFKB2
DHX9	SOS1
DHX9	ZNF131
DHX9	MKI67
DHX9	MLH1
DHX9	TRAF6
DHX9	DIS3
DHX9	RPL31
DHX9	GNA13
DHX9	EMG1
DHX9	SDHA
DHX9	MOV10
DHX9	SMG7
DHX9	CDC73
DHX9	PCBP1
DHX9	DDX60L
DHX9	AKAP8
DHX9	YBX3
DHX9	IL7R
DHX9	GTF2B
DHX9	AHSA1
DHX9	GTF2I
DHX9	PDAP1
DHX9	CSNK1A1
DHX9	POLR2D
DHX9	PRKDC
DHX9	EML4
DHX9	NCOA3
DHX9	KIF21B
DHX9	ZNF638
DHX9	PHGDH
DHX9	EIF2S2
DHX9	DDX17
DHX9	DDX10
DHX9	CDK12
DHX9	CDK13
DHX9	DDX18
DHX9	PSMC3
DHX9	HEATR1
DHX9	MDC1
DHX9	TRIP12
DHX9	LRRC47
DHX9	EIF3A
DHX9	EIF3E
DHX9	BARD1
DHX9	TPR
DHX9	TIAL1
DHX9	CD2BP2
DHX9	SYF2
DHX9	FUBP1
DHX9	CCAR1
DHX9	NCAPG
DHX9	RALY
DHX9	SRRT
DHX9	CREBBP
DHX9	ATM
DHX9	SCYL2
DHX9	ATR
DHX9	HNRNPL
DHX9	BRIP1
DHX9	SET
DHX9	SKP2
DHX9	FANCA
DHX9	HNRNPA3
DHX9	U2SURP
DHX9	FIGNL1
DHX9	CDK4
DHX9	CALR
DHX9	MSH2
DHX9	MSH3
DHX9	SF3B1
DHX9	MSH6
DHX9	SF3B2
